행정구역별(읍면동),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
　　　부천시,"833,148","412,302","420,846","794,155","392,770","401,385","38,993","19,532","19,461","329,594","315,696",205,"13,693","271,570","17,057","155,701","7,329","88,823","2,660","22,470"
　　　광명시,"298,116","146,922","151,194","290,414","143,230","147,184","7,702","3,692","4,010","114,422","111,383",33,"3,006","103,493","5,515","73,897","1,534","21,971",576,"5,365"
　　　평택시,"542,522","282,271","260,251","509,745","263,790","245,955","32,777","18,481","14,296","224,080","213,185",176,"10,719","219,871","33,328","147,307","7,714","29,451","2,071","6,957"
　　　동두천시,"95,239","47,654","47,585","90,846","45,254","45,592","4,393","2,400","1,993","39,055","37,936",55,"1,064","37,755","6,543","21,657","2,550","6,618",387,"1,082"
　　　안산시,"717,345","370,722","346,623","637,847","325,938","311,909","79,498","44,784","34,714","291,294","260,598",284,"30,412","220,241","15,588","116,400","8,888","77,977","1,388","12,995"
　　　상록구,"359,979","183,258","176,721","340,176","173,135","167,041","19,803","10,123","9,680","146,619","139,191",105,"7,323","114,069","7,858","49,248","1,233","54,991",739,"2,592"
　　　단원구,"357,366","187,464","169,902","297,671","152,803","144,868","59,695","34,661","25,034","144,675","121,407",179,"23,089","106,172","7,730","67,152","7,655","22,986",649,"10,403"
　　　고양시,"1,045,497","510,418","535,079","1,027,272","501,380","525,892","18,225","9,038","9,187","404,705","398,864",228,"5,613","334,425","21,021","264,031","11,272","36,461","1,640","37,383"
　　　덕양구,"460,881","227,271","233,610","453,888","224,025","229,863","6,993","3,246","3,747","183,099","180,981",93,"2,025","158,223","9,710","119,308","4,977","23,350",878,"10,470"
　　　일산동구,"292,616","141,805","150,811","286,357","138,381","147,976","6,259","3,424","2,835","114,417","112,376",105,"1,936","82,011","7,643","61,373","4,126","8,427",442,"20,196"
　　　일산서구,"292,000","141,342","150,658","287,027","138,974","148,053","4,973","2,368","2,605","107,189","105,507",30,"1,652","94,191","3,668","83,350","2,169","4,684",320,"6,717"
　　　과천시,"58,018","28,614","29,404","57,625","28,421","29,204",393,193,200,"20,629","20,504",10,115,"14,819","1,699","10,726",277,"2,015",102,504
